word,score
を目指し,0.8838989065831044
を推進,0.8838989065831044
たちの,0.5586242966691495
の企業,0.5586242966691495
企業は,0.5586242966691495
は、,0.5586242966691495
、グローバル,0.5586242966691495
グローバル市場,0.5586242966691495
市場で,0.5586242966691495
での,0.5586242966691495
の成長,0.5586242966691495
成長を,0.5586242966691495
目指し、,0.5586242966691495
、イノベーション,0.5586242966691495
イノベーションと,0.5586242966691495
と顧客,0.5586242966691495
顧客満足,0.5586242966691495
満足度,0.5586242966691495
度の,0.5586242966691495
の向上,0.5586242966691495
向上に,0.5586242966691495
に注力,0.5586242966691495
注力し,0.5586242966691495
。2025,0.5586242966691495
2025年,0.5586242966691495
年まで,0.5586242966691495
までに,0.5586242966691495
に新規,0.5586242966691495
新規事業,0.5586242966691495
事業を,0.5586242966691495
を10,0.5586242966691495
10件,0.5586242966691495
件立ち,0.5586242966691495
立ち上げる,0.5586242966691495
上げる『,0.5586242966691495
『未来,0.5586242966691495
未来創造,0.5586242966691495
創造プロジェクト,0.5586242966691495
プロジェクト』,0.5586242966691495
』を,0.5586242966691495
推進中,0.5586242966691495
中です,0.5586242966691495
当社は,0.5586242966691495
はサステナビリティ,0.5586242966691495
サステナビリティ経営,0.5586242966691495
経営を,0.5586242966691495
推進し,0.5586242966691495
、再生,0.5586242966691495
再生可能,0.5586242966691495
可能エネルギー,0.5586242966691495
エネルギーの,0.5586242966691495
の導入,0.5586242966691495
導入と,0.5586242966691495
と地域,0.5586242966691495
地域社会,0.5586242966691495
社会と,0.5586242966691495
との,0.5586242966691495
の共,0.5586242966691495
共創,0.5586242966691495
創を,0.5586242966691495
を強化,0.5586242966691495
強化し,0.5586242966691495
。『,0.5586242966691495
『グリーン,0.5586242966691495
グリーンチャレンジ,0.5586242966691495
チャレンジ2025,0.5586242966691495
2025』,0.5586242966691495
』を通じて,0.5586242966691495
を通じて、,0.5586242966691495
、環境,0.5586242966691495
環境負荷,0.5586242966691495
負荷低減,0.5586242966691495
低減と,0.5586242966691495
と企業,0.5586242966691495
企業価値,0.5586242966691495
価値向上,0.5586242966691495
向上を,0.5586242966691495
目指します,0.5586242966691495
